Task ID,Occupation (O*NET-SOC Title),Task,Automation Desire Rating,Human Agency Scale Rating,Automation Capacity Rating,Agent_Feasibility_Score
1287,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",4.5,2.83,4.67,4.58
14698,Web Developers,Back up files from Web sites to local directories for instant recovery in case of problems.,4.2,2.0,4.67,4.44
15206,Network and Computer Systems Administrators,"Configure, monitor, and maintain email applications or virus protection software.",3.88,2.12,5.0,4.44
1321,Network and Computer Systems Administrators,"Perform routine network startup and shutdown procedures, and maintain control records.",4.17,2.0,4.67,4.42
14731,Web Administrators,Back up or modify applications and related data to provide for disaster recovery.,4.2,1.6,4.5,4.35
14762,Web Administrators,Set up or maintain monitoring tools on Web servers or Web sites.,4.0,2.6,4.5,4.25
14743,Web Administrators,"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",4.0,2.2,4.5,4.25
1275,Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",3.4,2.6,5.0,4.2
14648,Software Quality Assurance Analysts and Testers,Document test procedures to ensure replicability and compliance with standards.,3.4,3.2,5.0,4.2
14713,Web Developers,"Respond to user email inquiries, or set up automated systems to send responses.",3.3,2.9,5.0,4.15
14740,Web Administrators,"Implement updates, upgrades, and patches in a timely manner to limit loss of service.",3.6,2.2,4.67,4.14
1269,Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",3.62,2.25,4.67,4.14
14644,Software Quality Assurance Analysts and Testers,Create or maintain databases of known test defects.,3.25,2.75,5.0,4.12
14750,Web Administrators,"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",3.75,2.75,4.5,4.12
14655,Software Quality Assurance Analysts and Testers,"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",3.25,3.0,5.0,4.12
14650,Software Quality Assurance Analysts and Testers,Update automated test scripts to ensure currency.,3.67,3.0,4.5,4.08
14625,Computer and Information Research Scientists,Evaluate project plans and proposals to assess feasibility issues.,4.1,3.3,4.0,4.05
18993,Computer Network Support Specialists,Document network support activities.,3.5,2.25,4.5,4.0
14749,Web Administrators,"Track, compile, and analyze Web site usage data.",3.5,2.25,4.5,4.0
18989,Computer Network Support Specialists,"Analyze network data to determine network usage, disk space availability, or server function.",3.33,2.0,4.67,4.0
14643,Software Quality Assurance Analysts and Testers,Monitor bug resolution efforts and track successes.,4.0,2.5,4.0,4.0
1320,Network and Computer Systems Administrators,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,3.5,2.5,4.5,4.0
1276,Computer Programmers,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",3.0,2.38,5.0,4.0
14710,Web Developers,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",3.3,2.9,4.67,3.98
11406,Data Entry Keyers,Maintain logs of activities and completed work.,4.25,2.0,3.67,3.96
14722,Web Developers,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",2.8,3.1,5.0,3.9
